;Descripción;Código;$ Instalacion;$ Abono;$ A. Riesgo;Observaciones
1;DETECTOR VOLUMÉTRICO INALÁMBRICO;DI;1450;50;62,5;-
2;DETECTOR MAGNÉTICO INALÁMBRICO;MI;750;50;62,5;-
3;DETECTOR VOLUMÉTRICO EXTERIOR INALÁMBRICO;VXI;8950;50;62,5;Cargar en Siebel MI de respaldo, sin cargo. DESCMIX.
4;DETECTOR LATERAL EXTERIOR INALÁMBRICO;DLI;9600;50;62,5;Cargar en Siebel MI de respaldo, sin cargo. DESCMIX.
5;DETECTOR VOLUMÉTRICO CABLEADO;D;1850;50;62,5;-
6;DETECTOR MAGNÉTICO CABLEADO;M;605;50;62,5;-
7;DETECTOR MAGNÉTICO DE PORTON CABLEADO;MP;880;50;62,5;-
8;DETECTOR VOLUMÉTRICO SEMI EXTERIOR CABLEADO;DX;7600;50;62,5;-
9;DETECTOR VOLUMÉTRICO EXTERIOR CABLEADO;VX;9625;50;62,5;-
10;DETECTOR LATERAL EXTERIOR CABLEADO;DL;12250;50;62,5;-
11;DETECTOR SÍSMICO CABLEADO;DS;3050;50;62,5;-
12;DETECTOR ANTIMASKING CABLEADO;DA;5700;50;62,5;Ocupa 2 zonas en la central. Informar a Dpto. Técnico para compra de este equipo.
13;DETECTOR ANTIMASKING EXTERIOR CABLEADO;DAX;7250;50;62,5;Ocupa 2 zonas en la central. Informar a Dpto. Técnico para compra de este equipo.
14;DETECTOR 360ª CABLEADO;DU;8050;50;62,5;Instalaciones mayores a 4 mts de altura, cotizar autoelevador.
15;DETECTOR ROTURA CRISTALES CABLEADO;RV;2250;50;62,5;-
16;DETECTOR TEMPERATURA CABLEADO;E;2700;50;62,5;Por pedido. Informar al Dpto. Técnico para comprar el equipamiento.
17;CONTROL REMOTO LLAVERO INALÁMBRICO;CR;715;50;62,5;Equipos cableados necesitan la receptora (A) para el CR.No suma en el chasis.
18;RECEPTOR ENCRYPTOR CR II CABLEADO;A;3135;-;-;CR necesita la receptora (A) para ser vendido, excepto eq. Vista o Alonso. Ocupa una zona, pero no modifica abono.
19;PULSADOR FIJO CABLEADO;P;550;50;62,5;-
20;FILTRO ADSL CABLEADO;L;660;-;-;No suma en el chasis.
21;BACK UP GPRS CABLEADO;Q;8300;230;287,5;No suma en el chasis. Incluye fuente de alimentación autónoma.No se carga mas linea de GPRSA solo el Q
22;SIM;SIM;0;-;-;Siempre que se cargue un Q cargar una sim
23;REPETIDORA INALÁMBRICA;RI;5200;-;-;Solo Vista 48. Es necesaria su instalación en propiedades de 3 plantas.
24;GABINETE;GA;6105;-;-;Por pedido. Informar al Dpto. Técnico para comprar el equipamiento. No suma en el chasis
25;CENTRAL;C;7700;-;-;-
26;TECLADO CABLEADO;T;3630;-;-;No suma en el chasis.
27;SIRENA INTERNA CABLEADA;S;660;-;-;No suma en el chasis.
28;SIRENA EXTERNA CABLEADA;SE;3400;-;-;No suma en el chasis.
29;CAMBIO DE CHASIS;C9-16 / C16-32;5918;-;-;Equipos cableados y DSC inalámbricos de + 8, + 16, + 32 elementos.
30;PRECIO POR VISITA DE SERVICE;PVS;880;-;-;Para clientes sin service en su abono
31;MUDANZA DE CENTRAL;MUD CENTRAL;4730;-;-;Cliente con + de 5 años de antigüedad, s/cargo.
32;MUDANZA DE ELEMENTO;MUDEL;495;-;-;-
33;CORRIMIENTO DE CENTRAL;CC;4730;-;-;-
34;CORRIMIENTO ELEMENTO;CORRI;495;-;-;-
35;CAMARA MANAGER INTERIOR WIFI;CMIWIFI;8470;370;462,5;SOLO PARA VENTAS E-COMMERCE
36;CAMARA MANAGER DOMO INTERIOR;CMIWIFI-PT;6600;370;462,5;SOLO PARA VENTAS E-COMMERCE
37;CAMARA MANAGER DOMO EXTERIOR;CMEWIFI;10285;370;462,5;SOLO PARA VENTAS E-COMMERCE
39;PIRCAM VIDEOVERIFICACION;DCVV;4350;50;-;Solo usar para Videoverificacion
40;PIRCAM EXTERIOR VIDEOVERIFICACION;DCXVV;21800;50;-;Solo usar para Videoverificacion
41;DETECTOR PIR STANDARD (NO VV);DVV;1850;50;-;-
42;MAGNÉTICO PIR INALÁMBRICO (NO VV);MVV;2650;50;-;-
43;CONTROL REMOTO VIDEOVERIFICACION;CRVV;1760;50;-;-
44;TAG DE PROXIMIDAD (X1);TAG;0;-;-;No suma en el chasis.
45;SIRENA EXTERNA INALÁMBRICA;SEVV;8635;-;-;-
46;MÓDULO / ADAPTADOR WIFI;WFVV;3400;-;-;No suma en el chasis.
47;FUENTE INTERNA;FVV;650;-;-;-
48;CENTRAL / PANEL RSI WIP 610;CVV;11500;-;-;-
49;TECLADO CON LECTOR DE TAG;TVV;4550;-;-;Ocupa zona pero no suma en el abono
50;SIRENA INTERNA CABLEADA (ANEXO A PANEL);SIVV;1500;-;-;-
52;DETECTOR VOLUMENTRICO INALAMBRICO HIBRIDO;DIHIB;1850;50;62,5;-
53;MAGNETICO INALAMBRICO HIBRIDO;MIHIB;2650;50;62,5;-
54;DETECTOR VOLUMENTRICO DOBLE TEC INALAMBRICO HIBRIDO;DIDHIB;4675;50;62,5;-
55;CONTROL REMOTO HIBRIDO;CRHIB;1650;50;62,5;-
56;BACK UP CELULAR HIBRIDO;QHIB;6400;-;-;-
57;EXPANSORA HIBRIDO;EXHIB;1500;-;-;-
58;TAG HIBRIDO;TAGHIB;220;-;-;-
59;RECEPTORA HIBRIDO;RHIB;4800;-;-;-
60;FUENTE HIBRIDO;FHIB;2800;-;-;-
61;CENTRAL HIBRIDA;CHIB;4950;-;-;-
62;TECLADO HIBRIDO;THIB;8800;-;-;-
63;DVR de 4 CH (incluye Disco + monitor);DVR 4;17550;-;-;No se carga el item DR500GB porque ya esta incluido en el DVR
64;DVR de 8 CH (incluye Disco + monitor);DVR 8;24250;-;-;No se carga el item DR500GB porque ya esta incluido
65;DVR de 16 CH  (incluye Disco + monitor);DVR 16;27750;-;-;No se carga el item DR500GB porque ya esta incluido
66;CÁMARA EXTERIOR;CE;5700;-;-;-
67;CÁMARA INFRARROJA SEMI EXTERIOR;CS;3940;-;-;-
68;ROUTER;RT;1550;-;-;-
69;CABLEADO ADICIONAL PARA CÁMARAS (cada 10 MTS);CADICC 10M;440;-;-;Cable UTP
70;ILUMINADORES INFRARROJOS HASTA 30 MTS;ILINF;4125;-;-;-
71;CABLE VGA P/MONITOR ADICIONAL HASTA 20 MTS;CVGA 20M;2970;-;-;-
72;UPS LYONN;UPS LYONN;55110;-;-;-
73;MICRÓFONO AMBIENTAL;MIC AM;1900;-;-;-
74;SOPORTE DE PARED PARA LCD;SLCD;1350;-;-;-
75;"MONITOR LCD 19""";LCD19;8300;-;-;-
76;BALUN PAR;BALUN;0;-;-;Por cada camara se instalan un par.
77;DISCO RIGIDO 1TERABYTE;DR500GB;4200;-;-;Cargar solo por reemplazo, no se pueden vender como adicional
78;MUDANZA DVR;MUDANZA DVR;4180;-;-;-
79;MUDANZA POR ELEMENTO;MUDEL CAMARAS;1375;-;-;-
80;CORRIMIENTO DE DVR;CDVR;3575;-;-;-
81;CORRIMIENTO CÁMARA;CCAM;1485;-;-;-
82;CONVERSOR VGA;CONVERSOR VGA;2050;-;-;Solo por recomendación técnica
83;CAMBIO DE CHASIS DVR;CC2-8/ CC16 o CC8-16;5610;-;-;-
84;CAJA FUERTE ABULONADA (incluye 1T, 1 DS y 2M);CAF;16400;-;-;Ocupa 3 zonas de la central. Sólo Vista 48 y NX 8.
85;CAJA FUERTECON  BUZÓN  (incluye 1T, 1 DS y 2M);CAFB;16400;-;-;-
86;MUDANZA;MUDANZA CAJA FUERTE;4510;-;-;-
87;CORRIMIENTO;CORRIMIENTO CAJA FUERTE;3245;-;-;-
88;KIT DE LOCALIZACIÓN  VEHICULAR;AP GPS;8280;-;-;-
89;MUDANZA / CAMBIO DE VEHICULO;MUDANZA VEHICULO;4600;-;-;-
90;CHASIS (Panel, Fuente, Teclado, Sirenta Interna, GPRS);CIINC20;40100;-;-;-
91;DETECTOR DE HUMO;H;4750;62,5;-;-
92;PULSADORES  INCENDIO;IP;4550;62,5;-;-
93;SIRENA INTERNA INCENDIO;IS;6600;-;-;-
94;SIRENA EXTERNA INCENDIO;IE;7200;-;-;-
95;1 A 3 DÍAS;AUTOE3;100100;-;-;-
96;1 SEMANA;AUTOE1S;223300;-;-;-
97;SERVICE;SRV;2420;-;-;-
98;VISITA AMPLIACION;VA;1980;-;-;-
99;SERVICE REMOTO;SR;1320;-;-;-
100;CORRIMIENTO POR ELEMENTO;CELEM;2420;-;-;-
101;SOLICITUD DE GRABACIONES;GRABACION EOH;1320;-;-;-
102;PUERTA DE MAXIMA SEGURIDAD;PMAXIS;21000;-;-;2 LEC ACC + 1 DPEST ACC + 1 BSALIDA ACC
103;PUERTA DE MEDIA SEGURIDAD;PMEDIAS;18100;-;-;2 LEC ACC + 1 DPEST ACC
104;PLACA CONTROLADORA;CONT ACC;0;-;-;Una por puerta
105;PUERTA DE BAJA SEGURIDAD;PBAJAS;15000;-;-;2 LEC ACC
106;PLACA DE EXPANSION;EXP ACC;0;-;-;Anexar a partir de 6 puertas o mas, siempre va 1 controladora + N expansoras (N=q puertas)
107;LECTORA;LEC ACC;7500;-;-;sin excepcion instalar 2 por puerta
108;FUENTE;FUENTE ACC;0;-;-;Una hasta 4 controladoras + expansoras
109;BATERIA;B;0;-;-;Una hasta 4 controladoras + expansoras
110;CERRADURA;CERR ACC;0;-;-;Una por puerta
111;HERRAJES;HERRAJE ACC;0;-;-;Una por puerta
112;DESTRABA PESTILLO;DPEST ACC;3100;-;-;Una por puerta
113;MAGNETICO DE BORNERA INICIAL;MX;0;-;-;Una por puerta
114;BOTON SALIDA;BSALIDA ACC;2900;-;-;Una por Puerta ppal
115;TAG CONTROL ACCESO;TAG ACC;200;-;-;2 TAG gratis por UF + 5 gratis para Administracion, adicionales con costo
116;CONTACTO MAGNETICO CONTROL DE ACCESO;CM ACC;0;-;-;Uno por Mx= 1 por puerta
117;CAJA ESTANCO BOTON EMERGENCIA CONTROL ACCESO;GA 8;0;-;-;Uno por Boton Salida
118;CAJA ESTANCO LECTORA CONTROL ACCESO;GA 12;0;-;-;Uno por lectora
119;ENVIO TAG;ENV TAG;1000;-;-;Costo por envio de tags
